指标名称,中国:人民币存款准备金率:中小型存款类金融机构,中国:人民币存款准备金率:大型存款类金融机构,中国:超额存款准备金率(超储率):金融机构
频率,月,月,季
单位,%,%,%
指标ID,M0043821,M0061518,M0010096
来源,中国人民银行,中国人民银行,中国人民银行
2015-03-31,17.5,19.5,2.3
2015-02-28,17.5,19.5,
2015-01-31,18.0,20.0,
2014-12-31,18.0,20.0,2.7
2014-11-30,18.0,20.0,
2014-10-31,18.0,20.0,
2014-09-30,18.0,20.0,2.3
2014-08-31,18.0,20.0,
2014-07-31,18.0,20.0,
2014-06-30,18.0,20.0,1.7
2014-05-31,18.0,20.0,
2014-04-30,18.0,20.0,
2014-03-31,18.0,20.0,1.8
2014-02-28,18.0,20.0,
2014-01-31,18.0,20.0,
2013-12-31,18.0,20.0,2.3
2013-11-30,18.0,20.0,
2013-10-31,18.0,20.0,
2013-09-30,18.0,20.0,2.1
2013-08-31,18.0,20.0,
2013-07-31,18.0,20.0,
2013-06-30,18.0,20.0,2.1
2013-05-31,18.0,20.0,
2013-04-30,18.0,20.0,
2013-03-31,18.0,20.0,2.0
2013-02-28,18.0,20.0,
2013-01-31,18.0,20.0,
2012-12-31,18.0,20.0,3.3
2012-11-30,18.0,20.0,
2012-10-31,18.0,20.0,
2012-09-30,18.0,20.0,2.1
2012-08-31,18.0,20.0,
2012-07-31,18.0,20.0,
2012-06-30,18.0,20.0,2.1
2012-05-31,18.0,20.0,
2012-04-30,18.5,20.5,
2012-03-31,18.5,20.5,2.2
2012-02-29,18.5,20.5,
2012-01-31,19.0,21.0,
2011-12-31,19.0,21.0,2.3
2011-11-30,19.5,21.5,
2011-10-31,19.5,21.5,
2011-09-30,19.5,21.5,1.4
2011-08-31,19.5,21.5,
2011-07-31,19.5,21.5,
2011-06-30,19.5,21.5,0.8
2011-05-31,19.0,21.0,
2011-04-30,18.5,20.5,
2011-03-31,18.0,20.0,1.5
2011-02-28,17.5,19.5,
2011-01-31,17.0,19.0,
2010-12-31,16.5,18.5,2.0
2010-11-30,16.0,18.0,
2010-10-31,15.0,17.0,
2010-09-30,15.0,17.0,1.7
2010-08-31,15.0,17.0,
2010-07-31,15.0,17.0,
2010-06-30,15.0,17.0,1.82
2010-05-31,15.0,17.0,
2010-04-30,14.5,16.5,
2010-03-31,14.5,16.5,1.96
2010-02-28,14.5,16.5,
2010-01-31,14.0,16.0,
2009-12-31,13.5,15.5,3.13
2009-11-30,13.5,15.5,
2009-10-31,13.5,15.5,
2009-09-30,13.5,15.5,2.06
2009-08-31,13.5,15.5,
2009-07-31,13.5,15.5,
2009-06-30,13.5,15.5,1.55
2009-05-31,13.5,15.5,
2009-04-30,13.5,15.5,
2009-03-31,13.5,15.5,2.28
2009-02-28,13.5,15.5,
2009-01-31,13.5,15.5,
2008-12-31,13.5,15.5,5.11
2008-11-30,16.0,17.0,
2008-10-31,16.0,17.0,
2008-09-30,16.5,17.5,2.07
2008-08-31,17.5,17.5,
2008-07-31,17.5,17.5,
2008-06-30,17.5,17.5,1.95
2008-05-31,16.5,16.5,
2008-04-30,16.0,16.0,
2008-03-31,15.5,15.5,2.0
2008-02-29,15.0,15.0,
2008-01-31,15.0,15.0,
2007-12-31,14.5,14.5,3.5
2007-11-30,13.5,13.5,
2007-10-31,13.0,13.0,
2007-09-30,12.5,12.5,2.8
2007-08-31,12.0,12.0,
2007-07-31,11.5,11.5,
2007-06-30,11.5,11.5,3.0
2007-05-31,11.0,11.0,
2007-04-30,10.5,10.5,
2007-03-31,10.0,10.0,2.87
2007-02-28,10.0,10.0,
2007-01-31,9.5,9.5,
2006-12-31,9.0,9.0,4.8
2006-11-30,9.0,9.0,
2006-10-31,8.5,8.5,
2006-09-30,8.5,8.5,2.52
2006-08-31,8.5,8.5,
2006-07-31,8.0,8.0,
2006-06-30,7.5,7.5,3.1
2006-05-31,7.5,7.5,
2006-04-30,7.5,7.5,
2006-03-31,7.5,7.5,3.0
2006-02-28,7.5,7.5,
2006-01-31,7.5,7.5,
2005-12-31,7.5,7.5,4.17
2005-11-30,7.5,7.5,
2005-10-31,7.5,7.5,
2005-09-30,7.5,7.5,3.96
2005-08-31,7.5,7.5,
2005-07-31,7.5,7.5,
2005-06-30,7.5,7.5,3.72
2005-05-31,7.5,7.5,
2005-04-30,7.5,7.5,
2005-03-31,7.5,7.5,4.17
2005-02-28,7.5,7.5,
2005-01-31,7.5,7.5,
2004-12-31,7.5,7.5,5.25
2004-11-30,7.5,7.5,
2004-10-31,7.5,7.5,
2004-09-30,7.5,7.5,3.64
2004-08-31,7.5,7.5,
2004-07-31,7.5,7.5,
2004-06-30,7.5,7.5,3.75
2004-05-31,7.5,7.5,
2004-04-30,7.5,7.5,
2004-03-31,7.0,7.0,4.28
2004-02-29,7.0,7.0,
2004-01-31,7.0,7.0,
2003-12-31,7.0,7.0,5.38
2003-11-30,7.0,7.0,
2003-10-31,7.0,7.0,
2003-09-30,7.0,7.0,3.52
2003-08-31,6.0,6.0,
2003-07-31,6.0,6.0,
2003-06-30,6.0,6.0,3.88
2003-05-31,6.0,6.0,
2003-04-30,6.0,6.0,
2003-03-31,6.0,6.0,5.12
2003-02-28,6.0,6.0,
2003-01-31,6.0,6.0,
2002-12-31,6.0,6.0,6.47
2002-11-30,6.0,6.0,
2002-10-31,6.0,6.0,
2002-09-30,6.0,6.0,4.93
2002-08-31,6.0,6.0,
2002-07-31,6.0,6.0,
2002-06-30,6.0,6.0,6.78
2002-05-31,6.0,6.0,
2002-04-30,6.0,6.0,
2002-03-31,6.0,6.0,7.9
2002-02-28,6.0,6.0,
2002-01-31,6.0,6.0,
2001-12-31,6.0,6.0,7.6
2001-11-30,6.0,6.0,
2001-10-31,6.0,6.0,
2001-09-30,6.0,6.0,
2001-08-31,6.0,6.0,
2001-07-31,6.0,6.0,
2001-06-30,6.0,6.0,6.1
2001-05-31,6.0,6.0,
2001-04-30,6.0,6.0,
2001-03-31,6.0,6.0,6.8
2001-02-28,6.0,6.0,
2001-01-31,6.0,6.0,
2000-12-31,6.0,6.0,
2000-11-30,6.0,6.0,
2000-10-31,6.0,6.0,
2000-09-30,6.0,6.0,
2000-08-31,6.0,6.0,
2000-07-31,6.0,6.0,
2000-06-30,6.0,6.0,
2000-05-31,6.0,6.0,
2000-04-30,6.0,6.0,
2000-03-31,6.0,6.0,
2000-02-29,6.0,6.0,
2000-01-31,6.0,6.0,
1999-12-31,6.0,6.0,
1999-11-30,6.0,6.0,
1999-10-31,8.0,8.0,
1999-09-30,8.0,8.0,
1999-08-31,8.0,8.0,
1999-07-31,8.0,8.0,
1999-06-30,8.0,8.0,
1999-05-31,8.0,8.0,
1999-04-30,8.0,8.0,
1999-03-31,8.0,8.0,
1999-02-28,8.0,8.0,
1999-01-31,8.0,8.0,
1998-12-31,8.0,8.0,
1998-11-30,8.0,8.0,
1998-10-31,8.0,8.0,
1998-09-30,8.0,8.0,
1998-08-31,8.0,8.0,
1998-07-31,8.0,8.0,
1998-06-30,8.0,8.0,
1998-05-31,8.0,8.0,
1998-04-30,8.0,8.0,
1998-03-31,8.0,8.0,
1998-02-28,13.0,13.0,
1998-01-31,13.0,13.0,
