,日期,原油收益率%
167,2016/12/31,12.581731721814936
168,2017/1/31,-1.971136924
169,2017/2/28,-0.197486535
170,2017/3/31,-4.964921749
171,2017/4/30,-2.082150293
172,2017/5/31,-2.745022231
173,2017/6/30,-4.750546611
174,2017/7/31,9.870617696160267
175,2017/8/31,-0.512820513
176,2017/9/30,9.851088201603652
177,2017/10/31,6.65623913799096
178,2017/11/30,3.5848134267557397
179,2017/12/31,5.191127890514391
180,2018/1/31,3.2600568266786256
181,2018/2/28,-4.735698769
182,2018/3/31,6.825782912739431
183,2018/4/30,6.973103742706721
184,2018/5/31,3.219369429293595
185,2018/6/30,2.38432787730376
186,2018/7/31,-6.533232628
187,2018/8/31,4.269360269360267
188,2018/9/30,6.8457762851976245
189,2018/10/31,-8.76450677
190,2018/11/30,-22.20749967
191,2018/12/31,-8.363140862
192,2019/1/31,15.037174721189594
193,2019/2/28,6.689287445467773
194,2019/3/31,3.574132969862176
195,2019/4/30,6.448311156601827
196,2019/5/31,-11.41483516
197,2019/6/30,3.1942936889440166
198,2019/7/31,-2.07362885
199,2019/8/31,-7.273285254
200,2019/9/30,0.5791825252358107
201,2019/10/31,-0.904902929
202,2019/11/30,3.6526647849908667
203,2019/12/31,5.71840461316675
204,2020/1/31,-11.87878788
205,2020/2/29,-13.13617607
206,2020/3/31,-54.98812352
207,2020/4/30,11.125769569041344
208,2020/5/31,39.810051444400465
209,2020/6/30,16.47325219360316
210,2020/7/31,5.2247873633049835
211,2020/8/31,4.572748267898397
212,2020/9/30,-9.562720848
213,2020/10/31,-8.522588523
214,2020/11/30,27.04217832354512
215,2020/12/31,8.846396301744042
216,2021/1/31,7.8764478764478785
217,2021/2/28,18.342877594846072
218,2021/3/31,-3.916528051
219,2021/4/30,5.838841674535722
220,2021/5/31,3.078066914498123
221,2021/6/30,8.381419503750731
222,2021/7/31,1.5972314654598696
223,2021/8/31,-4.375736932
224,2021/9/30,7.576380326072063
225,2021/10/31,7.463066734589918
226,2021/11/30,-16.36643754
227,2021/12/31,10.216806008218793
228,2022/1/31,17.266649524299304
229,2022/2/28,10.72250849687535
230,2022/3/31,6.852163580552539
231,2022/4/30,1.3251783893985847
232,2022/5/31,12.34680812145601
233,2022/6/30,-6.536958645
234,2022/7/31,-4.180820486
235,2022/8/31,-12.28979184
236,2022/9/30,-8.840294331
237,2022/10/31,7.810368349249663
238,2022/11/30,-9.912474955
239,2022/12/31,0.561863513988059
240,2023/1/31,-1.652892562
241,2023/2/28,-0.710143212
242,2023/3/31,-4.911193229
243,2023/4/30,-0.288328946
244,2023/5/31,-8.649735982
245,2023/6/30,3.0828516377649384
246,2023/7/31,14.232309746328431
247,2023/8/31,1.5194015895278135
248,2023/9/30,9.72829841123648
249,2023/10/31,-8.288742
250,2023/11/30,-5.239675094
