,日期,中债指数收益率%
228,2021-01-29,-0.27
229,2021-02-26,-0.49
230,2021-03-31,0.5700000000000001
231,2021-04-30,0.47000000000000003
232,2021-05-31,0.25
233,2021-06-30,0.0
234,2021-07-30,1.6
235,2021-08-31,0.12
236,2021-09-30,-0.25
237,2021-10-29,-0.47000000000000003
238,2021-11-30,0.6
239,2021-12-31,0.64
240,2022-01-30,1.11
241,2022-02-28,-0.7100000000000001
242,2022-03-31,-0.11
243,2022-04-29,0.22
244,2022-05-31,0.27999999999999997
245,2022-06-30,-0.38
246,2022-07-29,0.63
247,2022-08-31,0.9199999999999999
248,2022-09-30,-0.63
249,2022-10-31,0.6799999999999999
250,2022-11-30,-1.29
251,2022-12-31,0.15
252,2023-01-31,-0.06
253,2023-02-28,0.08
254,2023-03-31,0.21
255,2023-04-28,0.44
256,2023-05-31,0.45999999999999996
257,2023-06-30,0.32
258,2023-07-31,0.16999999999999998
259,2023-08-31,0.5499999999999999
260,2023-09-28,-0.64
261,2023-10-31,-0.3
262,2023-11-30,-0.01
