指标名称,中国:社会融资规模:当月值
频率,月
单位,亿元
指标ID,M5206730
来源,中国人民银行
2023-09-30,41326.0
2023-10-31,18441.0
2023-11-30,24554.0
2023-12-31,19326.0
2024-01-31,64734.0
2024-02-29,14959.0
2024-03-31,48335.0
2024-04-30,-658.0
2024-05-31,20623.0
2024-06-30,32985.0
2024-07-31,7707.0
2024-08-31,30323.0
2024-09-30,37635.0
2024-10-31,14000.0

数据来源：Wind






















































































































































































































































































