,month,DR007
0,2014/12/1,4.815730769230769
1,2015/1/1,3.9511333333333334
2,2015/2/1,4.595558823529411
3,2015/3/1,4.4113999999999995
4,2015/4/1,2.8464714285714288
5,2015/5/1,2.06367
6,2015/6/1,2.339895238095238
7,2015/7/1,2.516273913043478
8,2015/8/1,2.4455999999999998
9,2015/9/1,2.3783857142857143
10,2015/10/1,2.355827777777778
11,2015/11/1,2.296247619047619
12,2015/12/1,2.339695652173913
13,2016/1/1,2.324325
14,2016/2/1,2.3283
15,2016/3/1,2.3028
16,2016/4/1,2.34204
17,2016/5/1,2.311238095238095
18,2016/6/1,2.3196142857142856
19,2016/7/1,2.3167857142857144
20,2016/8/1,2.333786956521739
21,2016/9/1,2.4115380952380954
22,2016/10/1,2.442527777777778
23,2016/11/1,2.4600545454545455
24,2016/12/1,2.5065181818181816
25,2017/1/1,2.469536842105263
26,2017/2/1,2.6243473684210525
27,2017/3/1,2.7591347826086956
28,2017/4/1,2.788126315789474
29,2017/5/1,2.927490476190476
30,2017/6/1,2.927963636363636
31,2017/7/1,2.807952380952381
32,2017/8/1,2.886826086956522
33,2017/9/1,2.9366181818181816
34,2017/10/1,2.880205882352941
35,2017/11/1,2.8880454545454546
36,2017/12/1,2.8734190476190475
37,2018/1/1,2.8368136363636363
38,2018/2/1,2.8280882352941177
39,2018/3/1,2.8529590909090907
40,2018/4/1,2.855245
41,2018/5/1,2.7663545454545453
42,2018/6/1,2.796345
43,2018/7/1,2.62295
44,2018/8/1,2.5198913043478264
45,2018/9/1,2.649395238095238
46,2018/10/1,2.6009722222222225
47,2018/11/1,2.614590909090909
48,2018/12/1,2.652747619047619
49,2019/1/1,2.5063545454545455
50,2019/2/1,2.4354470588235295
51,2019/3/1,2.588633333333333
52,2019/4/1,2.624809090909091
53,2019/5/1,2.5754619047619047
54,2019/6/1,2.4112789473684213
55,2019/7/1,2.501708695652174
56,2019/8/1,2.635490909090909
57,2019/9/1,2.6300095238095236
58,2019/10/1,2.647821052631579
59,2019/11/1,2.525795238095238
60,2019/12/1,2.3352190476190477
61,2020/1/1,2.3984647058823527
62,2020/2/1,2.17279
63,2020/3/1,1.8403818181818181
64,2020/4/1,1.4638999999999998
65,2020/5/1,1.541721052631579
66,2020/6/1,1.980695238095238
67,2020/7/1,2.1022173913043476
68,2020/8/1,2.189942857142857
69,2020/9/1,2.170721739130435
70,2020/10/1,2.2436764705882353
71,2020/11/1,2.2899142857142856
72,2020/12/1,1.9864478260869565
73,2021/1/1,2.24618
74,2021/2/1,2.2775411764705886
75,2021/3/1,2.121913043478261
76,2021/4/1,2.1100045454545455
77,2021/5/1,2.1201842105263156
78,2021/6/1,2.2461857142857142
79,2021/7/1,2.1597636363636363
80,2021/8/1,2.1509636363636364
81,2021/9/1,2.1828454545454545
82,2021/10/1,2.167017647058824
83,2021/11/1,2.1566727272727273
84,2021/12/1,2.1570652173913047
85,2022/1/1,2.1002857142857145
86,2022/2/1,2.08995
87,2022/3/1,2.0948521739130435
88,2022/4/1,1.8189523809523809
89,2022/5/1,1.629
90,2022/6/1,1.7219047619047618
91,2022/7/1,1.5595428571428571
92,2022/8/1,1.417021739130435
93,2022/9/1,1.6006666666666665
94,2022/10/1,1.6472833333333332
95,2022/11/1,1.7843000000000002
96,2022/12/1,1.7597772727272727
97,2023/1/1,1.9135444444444443
98,2023/2/1,2.10854
99,2023/3/1,2.0462434782608696
100,2023/4/1,2.0637250000000003
101,2023/5/1,1.853747619047619
102,2023/6/1,1.8876428571428572
103,2023/7/1,1.8019761904761904
104,2023/8/1,1.8643869565217392
105,2023/9/1,1.9668400000000001
106,2023/10/1,1.9835947368421052
107,2023/11/1,1.974640909090909
108,2023/12/1,1.8377571428571429
109,2024/1/1,1.8597954545454547
110,2024/2/1,1.8599944444444445
111,2024/3/1,1.8917095238095236
112,2024/4/1,1.8753272727272725
113,2024/5/1,1.8496904761904762
114,2024/6/1,1.9018263157894737
115,2024/7/1,1.8283217391304347
116,2024/8/1,1.7910045454545453
117,2024/9/1,1.794252380952381
118,2024/10/1,1.6576526315789473
119,2024/11/1,1.673252380952381
120,2024/12/1,1.7012
